Image J,Point de référence : en bas à gauche de la cellule considérée,,,,,,,,,,,,,,,,
Name video,"output_1HYVrU
",output_3JCehT,output_5q84Sq,output_BFQlW5,output_GaRQek,output_gSz3MW,output_nkzWwN,output_Sjs50e,,Track number,,,X,Y,Distance ,Velocity,Pixel Value
,,,,,,,,,,53,80,3,758,293,-0.516,-0.258,60
,,,,,,,,,,54,80,4,764,292,-0.785,-0.392,78
,,,,,,,,,,55,80,5,777,292,-1.677,-0.839,60
,,,,,,,,,,56,80,6,785,294,-1.064,-0.532,98
,,,,,,,,,,57,80,7,785,294,0,0,53
,,,,,,,,,,58,80,8,785,294,0,0,64
,,,,,,,,,,59,80,9,785,294,0,0,63
,,,,,,,,,,60,80,10,785,294,0,0,61
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,81,1,496,741,-1,-1,91
,,,,,,,,,,2,81,2,496,748,0.903,0.452,78
,,,,,,,,,,3,81,3,496,749,0.129,0.065,71
,,,,,,,,,,4,81,4,496,752,0.387,0.194,92
,,,,,,,,,,5,81,5,496,752,0,0,90
,,,,,,,,,,6,81,6,496,752,0,0,90
,,,,,,,,,,7,81,7,498,752,0.258,0.129,87
,,,,,,,,,,8,81,8,500,752,0.258,0.129,84
,,,,,,,,,,9,81,9,500,750,0.258,0.129,103
,,,,,,,,,,10,81,10,500,749,0.129,0.065,103
,,,,,,,,,,11,83,1,533,736,-1,-1,82
,,,,,,,,,,12,83,2,534,736,-0.129,-0.065,75
,,,,,,,,,,13,83,3,536,736,-0.258,-0.129,62
,,,,,,,,,,14,83,4,538,738,-0.365,-0.182,78
,,,,,,,,,,15,83,5,538,741,-0.387,-0.194,49
,,,,,,,,,,16,83,6,538,741,0,0,49
,,,,,,,,,,17,83,7,540,741,-0.258,-0.129,55
,,,,,,,,,,18,83,8,542,741,-0.258,-0.129,54
,,,,,,,,,,19,83,9,542,741,0,0,59
,,,,,,,,,,20,83,10,542,741,0,0,58
,,,,,,,,,,21,85,1,581,721,-1,-1,85
,,,,,,,,,,22,85,2,581,725,0.516,0.258,94
,,,,,,,,,,23,85,3,581,725,0,0,67
,,,,,,,,,,24,85,4,581,725,0,0,88
,,,,,,,,,,25,85,5,581,728,0.387,0.194,79
,,,,,,,,,,26,85,6,582,728,0.129,0.065,62
,,,,,,,,,,27,85,7,585,728,0.387,0.194,77
,,,,,,,,,,28,85,8,585,728,0,0,84
,,,,,,,,,,29,85,9,585,728,0,0,76
,,,,,,,,,,30,85,10,585,728,0,0,97
,,,,,,,,,,31,87,1,633,708,-1,-1,77
,,,,,,,,,,32,87,2,633,708,0,0,61
,,,,,,,,,,33,87,3,633,708,0,0,62
,,,,,,,,,,34,87,4,633,713,0.645,0.323,72
,,,,,,,,,,35,87,5,637,713,0.516,0.258,73
,,,,,,,,,,36,87,6,637,714,0.129,0.065,56
,,,,,,,,,,37,87,7,645,714,1.032,0.516,90
,,,,,,,,,,38,87,8,645,714,0,0,70
,,,,,,,,,,39,87,9,645,712,0.258,0.129,64
,,,,,,,,,,40,87,10,645,712,0,0,70
,,,,,,,,,,41,89,1,680,698,-1,-1,82
,,,,,,,,,,42,89,2,685,697,0.658,0.329,80
,,,,,,,,,,43,89,3,688,697,0.387,0.194,81
,,,,,,,,,,44,89,4,688,706,1.161,0.581,92
